id;name;barrier;tariffType;tariffGroupId;tariffGroupName;tariffGroupRushHourStart;tariffGroupRushHourEnd;tariffGroupTaxName;tariffGroupTaxRateLow;tariffGroupTaxRateLow;geometryType;geometryLatitude;geometryLongitude
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Ladbar hybrid;21;28;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Elbil;5;10;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hydrogen;0;0;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Ladbar hybrid;21;28;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Bensin;21;28;Point;59.909709;10.628329
pfguigctzhi;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.9128410283964;10.639776898147602
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid bensin;21;28;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hydrogen;0;0;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Elbil;5;10;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro VI;53;69;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Nullutslipp;0;0;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro V og eldre;86;101;Point;59.909709;10.628329
pfguigctzhi;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.9128410283964;10.639776898147602
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Andre;0;0;Point;59.909709;10.628329
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.909709;10.628329
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Bensin;21;28;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Diesel;25;31;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.909130141141226;10.627708766864771
pfguigctzhi;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.9128410283964;10.639776898147602
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Elbil;5;10;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Hydrogen;0;0;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Bensin;21;28;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid bensin;21;28;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Ladbar hybrid;21;28;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Hydrogen;0;0;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro V og eldre;86;101;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro VI;53;69;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Elbil;5;10;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Nullutslipp;0;0;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.909130141141226;10.627708766864771
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.909709;10.628329
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.909130141141226;10.627708766864771
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.909130141141226;10.627708766864771
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Diesel;25;31;Point;59.90982424193205;10.628001626983632
kz5pksv6sn;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Andre;0;0;Point;59.909130141141226;10.627708766864771
l0sf3w8lme;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro V og eldre;86;101;Point;59.909709;10.628329
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Ladbar hybrid;21;28;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hydrogen;0;0;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Elbil;5;10;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Bensin;21;28;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid bensin;21;28;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Ladbar hybrid;21;28;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Elbil;5;10;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hydrogen;0;0;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro V og eldre;86;101;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro VI;53;69;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Nullutslipp;0;0;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro V og eldre;86;101;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.90982424193205;10.628001626983632
98cj95kv68c;E18 hovedløp;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Andre;0;0;Point;59.90982424193205;10.628001626983632
h1ukteo5hu;Bærumsveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Diesel;25;31;Point;59.92658;10.624641999999994
h1ukteo5hu;Bærumsveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Bensin;21;28;Point;59.92658;10.624641999999994
h1ukteo5hu;Bærumsveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.92658;10.624641999999994
h1ukteo5hu;Bærumsveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.92658;10.624641999999994
