index;id;name;barrier;tariffType;tariffGroupId;tariffGroupName;tariffGroupRushHourStart;tariffGroupRushHourEnd;tariffGroupTaxName;tariffGroupTaxRateLow;tariffGroupTaxRateLow;geometryType;geometryLatitude;geometryLongitude
103;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro V og eldre;86;101;Point;59.909709;10.628329
104;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro VI;53;69;Point;59.909709;10.628329
32;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.91156;10.632618999999977
106;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.909709;10.628329
107;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro V og eldre;86;101;Point;59.909709;10.628329
108;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.909709;10.628329
101;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Elbil;5;10;Point;59.909709;10.628329
110;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Andre;0;0;Point;59.909709;10.628329
111;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Diesel;25;31;Point;59.909130141141226;10.627708766864771
112;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Bensin;21;28;Point;59.909130141141226;10.627708766864771
113;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.909130141141226;10.627708766864771
114;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.909130141141226;10.627708766864771
115;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Ladbar hybrid;21;28;Point;59.909130141141226;10.627708766864771
116;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Elbil;5;10;Point;59.909130141141226;10.627708766864771
118;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.909130141141226;10.627708766864771
117;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Hydrogen;0;0;Point;59.909130141141226;10.627708766864771
